title,company,expected,link,project,level,work mode,salary,salary_for,city,ukrainian_people
Senior DevOps Engineer (CI/CD) - Network Department,T-Mobile,"Docker,Kubernetes,Git,Jenkins,GitLab,Grafana,Prometheus,Groovy,Linux","https://www.pracuj.pl/praca/senior-devops-engineer-ci-cd-network-department-warszawa-marynarska-12,oferta,1003684505","Working in an established DevOps team based in Warsaw you will be responsible for all aspects of Networking, Cloud and CI/CD Pipeline, run and build for T-Mobile Poland located and strictly cooperated with T-Mobile Group international teams. Management of full cloud native stack and working to a strict dedicated solution for modern telecommunication services will be a large part of the role.  You will provide operational support for critical services that enable connected experiences found across T-Mobile customers. As is one of the leading engineering teams in the telecommunication world, our goal is to provide platform for businesses to build services and run workloads dedicated for 5G network.",senior specialist (Senior),hybrid work,,,Warszawa,True
Security Architect,Motorola Solutions,"AWS,Azure,GCP,Python,PowerShell","https://www.pracuj.pl/praca/security-architect-krakow-czerwone-maki-82,oferta,1003703645","The Product Security Architecture Team (PSAT) is an integral part of the corporate Product Security organization and is responsible for integrating security by design into the products created by our partner organizations in the business. Our PSAT consists of experienced security professionals that possess strong technical and communication skills, along with a proven track record of leadership demonstrated in leading key security architecture initiatives across the company.,We are seeking an experienced Product Security Architect with an initial focus on secure architecture standards and advisory. As a Product Security Architect, you will be responsible for designing, implementing, and maintaining the security posture of our product environments in partnership with the product teams. You will be leading discussions with product teams regarding security design considerations and implementations. Your primary focus will be on ensuring the confidentiality, integrity, and availability of our products and services by devising, documenting, and communicating technical security standards, procedures, and specifications that comply with NIST security standards such 800-53, 800-207, 800-92 etc. You will also be responsible for advising product teams on secure architecture implementation details during product design.",specialist (Mid / Regular),hybrid work,,,Kraków,True
"Software Engineering Manager, Cloud Run Serverless UI",Google,"Python,C,C++,Java,JavaScript","https://www.pracuj.pl/praca/software-engineering-manager-cloud-run-serverless-ui-warszawa-emilii-plater-53,oferta,1003694971","Like Google's own ambitions, the work of a Software Engineer goes beyond just Search. Software Engineering Managers have not only the technical expertise to take on and provide technical leadership to major projects, but also manage a team of Engineers. You not only optimize your own code but make sure Engineers are able to optimize theirs. As a Software Engineering Manager you manage your project goals, contribute to product strategy and help develop your team. Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security, data compression, user interface design; the list goes on and is growing every day. Operating with scale and speed, our exceptional software engineers are just getting started -- and as a manager, you guide the way.,With technical and leadership expertise, you manage engineers across multiple teams and locations, a large product budget and oversee the deployment of large-scale projects across multiple sites internationally.,Cloud Run is one of the google cloud projects. Cloud Run allows to develop and deploy highly scalable applications on a fully managed serverless platform. Cloud Run UI plays a critical role in those products, providing an enhanced developer experience, abstracting away the infrastructure management, and cross-product integrations. We're a full stack engineering team owning UI product development for Cloud Run. We focus on user experience and product excellence. Closely cooperating with our partners UX designers, Product Managers and adjacent back-end teams. We form a center of excellence of UI engineering, developed in both Angular and Java.,Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",senior specialist (Senior),hybrid work,,,Warszawa,False
Engineering Manager - ML & Data Scraping,EcoVadis Polska Sp. z o. o.,"NoSQL,SQL,Microsoft Azure,Python,Machine learning","https://www.pracuj.pl/praca/engineering-manager-ml-data-scraping-warszawa-twarda-18,oferta,1003684565","Our Technology and Platform Services department designs and secures the platform that underpins all of our offerings, achieving scalability and continuous improvement through innovation and collaboration.,EcoVadis is currently seeking an Engineering Manager to lead a team responsible for collecting & analyzing millions of news articles and documents related to Corporate Social Responsibility (CSR) using AI models. This team's work is pivotal in gathering the data that underpins our sustainability assessments and insights.,The Engineering Manager is responsible for the good functioning and performance of the team, from both an individual and collective view. The role will manage and support the team to meet challenging business goals and time frames.,You are also responsible for the quality of what the team delivers, and must therefore introduce good practices as necessary, for various aspects of the job. You will collaborate with other engineering managers to ensure that development processes are optimal.,Location: Hybrid in Warsaw / Remote from Poland,Contract: B2B or CoE","senior specialist (Senior), expert","home office work, hybrid work",,,Warszawa,False
Big Data Analyst,Integer Group Services Sp. z o.o,,"https://www.pracuj.pl/praca/big-data-analyst-krakow-pana-tadeusza-4,oferta,1003702857",,"specialist (Mid / Regular), senior specialist (Senior)",home office work,,,Kraków,False
AI Engineer,Silky Coders sp. z o.o.,"Python,Docker,OpenAI,TensorFlow,Azure,GCP,Dall-e","https://www.pracuj.pl/praca/ai-engineer-gdansk-dlugie-ogrody-12,oferta,1003694822","Czy kiedykolwiek zastanawiałeś się, jak Twoja ulubiona marka odzieżowa łączy się z nowoczesną technologią? Dołącz do nas i bądź częścią rewolucji w branży mody! Silky Coders nie tylko ubiera, ale i wspiera rozwój technologii w LPP.,Dołączysz do nowo powstającego zespołu, który będzie odpowiedzialny za tworzenie innowacyjnych rozwiązań opartych na generatywnej sztucznej inteligencji (AI). Naszym celem jest rozwój produktów AI w kluczowych obszarach, takich jak tworzenie treści, praca z obrazem, personalizacja oraz optymalizacja procesów.,Będziesz częścią zespołu składającego się z 5 specjalistów na różnych stanowiskach, takich jak AI Engineer, AI Researcher, Prompt Engineer i AI Ethicist. Nasz zespół będzie ściśle współpracował z działem Data Science, liczącym około 120 osób, które na co dzień pracują z danymi.",specjalista (Mid / Regular),praca zdalna,,,Gdańsk,False
Junior Data Analyst,R.Power,,"https://www.pracuj.pl/praca/junior-data-analyst-warszawa-pulawska-2,oferta,1003694081",,młodszy specjalista (Junior),praca hybrydowa,,,Warszawa,False
Python Developer,CLARITY LABS POLAND sp. z o.o.,Python,"https://www.pracuj.pl/praca/python-developer-warszawa,oferta,1003703869",,specjalista (Mid / Regular),praca zdalna,15000–22000,brutto / mies.,,False
Senior Python Developer for GenAI,SQUARE ONE RESOURCES sp. z o.o.,"FastAPI,Python,Azure Functions,Azure Storage,OAuth,Docker","https://www.pracuj.pl/praca/senior-python-developer-for-genai-warszawa-pulawska-2,oferta,1003709875","AI and Deals data strategy are made possible via the Connect Deals Experience ecosystem, specifically Engagement Hub, Data Studio and Junction.,Work is already underway across Deals to identify viable ideas to deliver even more automation and efficiency for our teams and clients through the application of GenAI.,Remote vs Onsite: 99% remote; mandatory attendance to planning sessions/workshops four times a year (able to travel freely around UK and Europe),HackerRank Challenge: Yes,US Hours overlap needed: Yes, 11:00 - 19:00 CET (11am - 7pm)",senior specialist (Senior),home office work,"160,00–180,00",net (+ VAT) / hr.,Warszawa,False
Python Developer (aspiring Solution Architect/Lead),SQUARE ONE RESOURCES sp. z o.o.,"Python,Flask,Celery,Redis,PostgreSQL,PySpark,Docker,Azure DevOps","https://www.pracuj.pl/praca/python-developer-aspiring-solution-architect-lead-warszawa,oferta,1003719579","The project aims to automate the creation of assessment dossiers for health technologies within clinical trials. These dossiers are used to evaluate the clinical, economic, and social impact of new treatments, drugs, or medical devices to support decision-making in healthcare systems.,The main goal is to improve both quality and efficiency by leveraging advanced technologies and Artificial Intelligence. This initiative is part of a larger program designed to rethink how clinical trials are conducted in the pharmaceutical industry, enhancing workflows, accelerating time to market, and generating clinical data more efficiently.","senior specialist (Senior), expert",home office work,26000–30000,net (+ VAT) / mth.,,False
"Data Engineer (Python, AWS)",Scalo Sp. z o.o.,"SQL,Python,AWS,Kubernetes,Docker","https://www.pracuj.pl/praca/data-engineer-python-aws-wroclaw,oferta,1003724751",,specjalista (Mid / Regular),praca zdalna,"140,00",netto (+ VAT) / godz.,,False
"Fullstack Developer (Python, React) with AI",ITFS sp. z o.o.,"Python,React.js,AI","https://www.pracuj.pl/praca/fullstack-developer-python-react-with-ai-warszawa,oferta,1003724746","Miejsce pracy: 100% zdalnie z Polski,Start: możliwy ASAP (max. 3 miesiące wypowiedzenia),Współpraca: B2B z ITFS – współpraca długofalowa, pełen etat,Wynagrodzenie: mid ➡ do 140 zł/h + VAT, senior ➡ do 170 zł/h + VAT (bez płatnych urlopów),Projekt: z branży real estate, firma z siedzibą w USA,Godziny pracy: między 8:00 a 18:00 CET,Sprzęt: praca na własnym komputerze,Proces rekrutacyjny: krótka rozmowa tel. z ITFS (ok. 15 min) ➡ 1 rozmowa miękko-techniczna z Klientem ➡ decyzja","specjalista (Mid / Regular), starszy specjalista (Senior)",praca zdalna,"130,00–170,00",netto (+ VAT) / godz.,,False
"Senior Data Engineer (Python, SQL, AWS)",Scalo Sp. z o.o.,"Python,AWS,SQL,Git,Jenkins","https://www.pracuj.pl/praca/senior-data-engineer-python-sql-aws-warszawa,oferta,1003724744",,starszy specjalista (Senior),praca hybrydowa,"180,00",netto (+ VAT) / godz.,,False
"Data Engineer (Java, Scala or Python and AWS)",emagine dla Konsultantów IT,"Java/Scala/Python,SQL,AWS,Spark/PySpark,Apache stack (Kafka,Airflow,Flink)","https://www.pracuj.pl/praca/data-engineer-java-scala-or-python-and-aws-warszawa,oferta,1003696122","Industry: Fintech,Work model: remote + visits from time to time (if needed) in Warsaw office,Contract’s length: B2B, long-term cooperation,Project language: English,Start: ASAP / 1 month notice period,We are currently looking for skilled Data Engineers to join a leading global fintech company that provides smarter and more flexible payment experiences.,You can find here an international teams and large scale projects.",specialist (Mid / Regular),"home office work, hybrid work",,,,False
Computer Vision Scientist,YOUR ITEAMS sp. z o.o.,Python,"https://www.pracuj.pl/praca/computer-vision-scientist-warszawa-nowy-swiat-33-13,oferta,1003725397","We are looking for experienced Computer Vision Scientist who will support our client and his global project.,100% remote work,Start: December 2024,Project overview: creating a visual map that shows customers behaviours,Recruitment process: 2 technical interviews",specialist (Mid / Regular),home office work,"140,00–170,00",net (+ VAT) / hr.,Warszawa,False
Computer Vision Scientist,ITFS sp. z o.o.,"Python,AI/ML","https://www.pracuj.pl/praca/computer-vision-scientist-warszawa,oferta,1003725229","Miejsce pracy: 100% zdalnie,Start pracy: ASAP (akceptowalny max 30 dniowy okres wypowiedzenia),Forma współpracy: B2B,Stawka: 120-150 zł/h netto+VAT","specjalista (Mid / Regular), starszy specjalista (Senior)",praca zdalna,"120,00–150,00",netto (+ VAT) / godz.,,False
Administrator Systemów IT,TEKOM Technologia Sp z o.o.,Python,"https://www.pracuj.pl/praca/administrator-systemow-it-radom,oferta,1003725303",,specjalista (Mid / Regular),"praca stacjonarna, praca zdalna",,,,False
Senior Data Scientist - Google Cloud,Google,"SQL,R,Python","https://www.pracuj.pl/praca/senior-data-scientist-google-cloud-warszawa-emilii-plater-53,oferta,1003714661","We collaborate closely with engineering and product teams, and our impact is substantial across many areas as Google Cloud continues its rapid expansion. Our projects include building experiment frameworks for users and resources, understanding user engagement, and optimizing product resource usage and efficiency. To understand our users, we analyze various client and server-side logs, define key metrics, and apply rigorous statistical and machine learning methodologies to generate actionable insights.,As a data scientist, you will work on scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. You will evaluate and improve Google's products. You will collaborate with a multi-disciplinary team of engineers and analysts on a wide range of problems. You will bring scientific excellence and statistical methods to the challenges of product creation, development and improvement with an appreciation for the behaviors of the end user.,In this role, you'll partner with engineering and product management teams developing GenAI-based development tools critical to developer productivity.,A conversational AI tool that enables users to collaborate with generative AI and help augment their imagination, expand their curiosity, and enhance their productivity.",specialist (Mid / Regular),hybrid work,,,Warszawa,False
Software Engineering Manager - AI Studio,Google,"Python,C,C++,Java,JavaScript,TypeScript","https://www.pracuj.pl/praca/software-engineering-manager-ai-studio-warszawa-emilii-plater-53,oferta,1003714598","Like Google's own ambitions, the work of a Software Engineer goes beyond just Search. Software Engineering Managers have not only the technical expertise to take on and provide technical leadership to major projects, but also manage a team of Engineers. You not only optimize your own code but make sure Engineers are able to optimize theirs. As a Software Engineering Manager you manage your project goals, contribute to product strategy and help develop your team. Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security, data compression, user interface design; the list goes on and is growing every day. Operating with scale and speed, our exceptional software engineers are just getting started -- and as a manager, you guide the way.,With technical and leadership expertise, you manage engineers across multiple teams and locations, a large product budget and oversee the deployment of large-scale projects across multiple sites internationally.,Google Cloud Platform (GCP) is leading the charge to bring Generative AI experiences to our customers, by leveraging data and insights to help customers solve business challenges.,In this role, you will work with cross-functional teams building features for GCP as we bring AI-first experiences across the platform.,Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",senior specialist (Senior),hybrid work,,,Warszawa,False
Senior Data Scientist / AI Engineer,Robert Bosch Sp. z o.o.,Python,"https://www.pracuj.pl/praca/senior-data-scientist-ai-engineer-warszawa-jutrzenki-105,oferta,1003702821","We are seeking a highly skilled and experienced Senior Data Scientist / AI Engineer to join our team. As a Senior Data Scientist / AI Engineer, you will be responsible for developing and implementing cutting-edge solutions using Python, Machine Learning, LLMs, and classical NLP methodologies. You will work closely with our team of experts to analyze data, build models, and create innovative (Gen)AI solutions.",senior specialist (Senior),hybrid work,,,Warszawa,True
Azure Databricks Developer,emagine dla Konsultantów IT,"Azure cloud,CI/CD pipelines,Terraform,Python,Azure Databricks","https://www.pracuj.pl/praca/azure-databricks-developer-warszawa,oferta,1003696115","ndustry: Pharmaceutical,Remote work: Remote (business trips to Denmark 2-3 times a year + visiting Warsaw’s office for 1-2 days/ 2-3 times a year),Onboarding: 2 weeks in Copenhagen,Assignment type: B2B,Start: ASAP,Project language: English,We’re looking for experienced Azure Databricks Developers to help us develop and guide our cloud solutions. You’ll be a part of Business Intelligence, Data Management & Analytics (BIDMA), where we focus on high value creation and innovation. Join us in our mission to #BringDataToLife,As a Lead Azure Databricks Developer, you will play a central role in defining and implementing scalable solutions for our business areas, helping us extend our existing platform into the Azure environment. You’ll be working closely with our colleagues in the Development organisation to implement a new Azure Databricks data platform where the focus is both, developing, operating and scaling the platform for wide usage. You will be part of the core platform team anchored in our Development organisation.","specialist (Mid / Regular), senior specialist (Senior)",home office work,,,,False
Engineering Manager - Google Compute Engine Autoscaling,Google,"Python,C,C++,Java,JavaScript","https://www.pracuj.pl/praca/engineering-manager-google-compute-engine-autoscaling-warszawa-emilii-plater-53,oferta,1003714686","Like Google's own ambitions, the work of a Software Engineer goes beyond just Search. Software Engineering Managers have not only the technical expertise to take on and provide technical leadership to major projects, but also manage a team of Engineers. You not only optimize your own code but make sure Engineers are able to optimize theirs. As a Software Engineering Manager you manage your project goals, contribute to product strategy and help develop your team. Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security, data compression, user interface design; the list goes on and is growing every day. Operating with scale and speed, our exceptional software engineers are just getting started -- and as a manager, you guide the way.,With technical and leadership expertise, you manage engineers across multiple teams and locations, a large product budget and oversee the deployment of large-scale projects across multiple sites internationally.,Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",senior specialist (Senior),hybrid work,,,Warszawa,False
Senior Data Scientist Analyst,Brown Brothers Harriman,"Python,SQL","https://www.pracuj.pl/praca/senior-data-scientist-analyst-krakow-stanislawa-klimeckiego-1,oferta,1003714665","As a Data Scientist you will play a critical part in BBH Digital transformation by conducting research, designing, prototyping, and validating machine learning models to assure achievement of desired business outcomes.",senior specialist (Senior),hybrid work,,,Kraków,True
ETL Developer,ITDS Polska Sp. z o.o.,"Python,Microsoft Excel,SQL,Tableau","https://www.pracuj.pl/praca/etl-developer-warszawa,oferta,1003724947","Warsaw-based opportunity to work in hybrid model. 2-3 days per week at the office.,As an ETL Developer, you will join our client’s Production Management team and contribute to the optimization of their global operations. Our client is seeking a highly skilled ETL  Developer with a passion for leveraging technology to drive business impact.,Drive Innovation and Efficiency Through Data!","specialist (Mid / Regular), senior specialist (Senior)","full office work, hybrid work",19320–22680,net (+ VAT) / mth.,,False
Software Engineer II - Shopping Metrics,Google,"Python,C,C++,Java,JavaScript","https://www.pracuj.pl/praca/software-engineer-ii-shopping-metrics-warszawa-emilii-plater-53,oferta,1003714581","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.,With your technical expertise, you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.,People shop on Google more than a billion times a day - and the Commerce team is responsible for building the experiences that serve these users. The mission for Google Commerce is to be an essential part of the shopping journey for consumers - from inspiration to to a simple and secure checkout experience - and the best place for retailers/merchants to connect with consumers. We support and partner with the commerce ecosystem, from large retailers to small local merchants, to give them the tools, technology and scale to thrive in today’s digital world.",junior specialist (Junior),hybrid work,,,Warszawa,False
Senior Data Scientist,Harvey Nash Technology Sp. z o.o.,"Python,PyTorch,Microsoft Azure,Azure DevOps,LLM,NLP","https://www.pracuj.pl/praca/senior-data-scientist-warszawa,oferta,1003679309",,senior specialist (Senior),home office work,25000–32000,gross / mth.,,True
Software Engineer II - BigQuery Query Federation,Google,"Python,C,C++,Java,JavaScript","https://www.pracuj.pl/praca/software-engineer-ii-bigquery-query-federation-warszawa-emilii-plater-53,oferta,1003714589","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.,With your technical expertise, you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.,Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",junior specialist (Junior),hybrid work,,,Warszawa,False
Digital IC Design Engineer (Staff or Principal),Michael Page,"System Verilog,Python,C,C++","https://www.pracuj.pl/praca/digital-ic-design-engineer-staff-or-principal-warszawa,oferta,1003712879","Operates across 20+ manufacturing sites and 40 design centers globally, including presence in Europe, Asia, and North America. * 30,000 collaborators worlwide, 8B revenue in 2023. Partlially privately owned. Produces cutting-edge MCU and DSP systems, as well as hardware accelerators, primarily for the automotive and electronic consumer markets. As part of their continued growth, they are seeking a Digital IC Design Engineer (Staff or Principal)to join their R&D Hub center in Neuchâtel Switzerland.",team manager,full office work,,,,False
Data Scientist - Yield Management / Price Optimization,CRESTT sp. z o.o.,"SQL,Python","https://www.pracuj.pl/praca/data-scientist-yield-management-price-optimization-warszawa,oferta,1003696799","Hi!,We are seeking a seasoned Data Science Expert to head our yield management and price optimization efforts in the event industry. This role focuses on leveraging predictive analytics and data science to boost revenue optimization through dynamic ticket pricing and demand forecasting strategies. You will analyze a variety of data sources, including web, customer, transactional, and social data, to effectively predict demand and implement pricing strategies throughout the sales cycle. The ultimate goal is to maximize revenue by optimizing ticket allocation across different pricing tiers and adjusting prices based on real-time sales data.",senior specialist (Senior),home office work,31080–31920,net (+ VAT) / mth.,,True
Senior Software QA Engineer,Harvey Nash Technology Sp. z o.o.,"SQL,Python,Robot Framework,Docker","https://www.pracuj.pl/praca/senior-software-qa-engineer-warszawa,oferta,1003679269","The project involves the development and maintenance of complex software applications that require rigorous quality assurance testing. You will be part of a dynamic team focused on delivering high-quality software solutions that meet end-user requirements and organizational standards.,We are looking for an experienced Senior Quality Assurance Engineer who is passionate about software quality and has a strong background in both manual and automated testing. In this role, you will be responsible for ensuring that all software products meet the highest standards before they are released. You will work closely with development teams, define testing strategies, and mentor junior QA engineers.",senior specialist (Senior),home office work,"180,00–200,00",net (+ VAT) / hr.,,True
Principal Software Engineer for Imunify360,CloudLinux,"Go,Python,Linux,CentOS,Debian","https://www.pracuj.pl/praca/principal-software-engineer-for-imunify360-united-states-of-america,oferta,10951060","We are looking for a Principal Software Engineer to join our dynamic Team at Imunify360. You will have the opportunity to work on cutting-edge projects that are pushing the boundaries of enterprise cyber security applications. Imunify Security Suite is our innovative security solution designed specifically for shared and VPS/Dedicated servers. The automated, easy-to-use solution with the six-layer approach to security delivers comprehensive and complete attack prevention. Check out our website for more information about our Imunify Product: https://imunify360.com/","senior specialist (Senior), expert",home office work,,,,False
Engineering Platform IT System Specialist,Hitachi Energy Poland Sp. z o.o.,".Net,C++,Python","https://www.pracuj.pl/praca/engineering-platform-it-system-specialist-lodz-aleksandrowska-67,oferta,1003703650",We are looking for an Engineering Platform IT System Analyst to join an international development team that takes care of Engineering Design Platform development. We are looking for experienced candidate who will support us with breaking down business processes and then assist in finding ways to optimize them with the focus on design platform for transformer designers. The candidate should pose strong willingness to build strong relationship between business and engineering.,specialist (Mid / Regular),full office work,,,Łódź,False
Engineering Platform IT System Specialist,Hitachi Energy Poland Sp. z o.o.,".Net,C++,Python","https://www.pracuj.pl/praca/engineering-platform-it-system-specialist-krakow-pawia-7,oferta,1003703654",We are looking for an Engineering Platform IT System Analyst to join an international development team that takes care of Engineering Design Platform development. We are looking for experienced candidate who will support us with breaking down business processes and then assist in finding ways to optimize them with the focus on design platform for transformer designers. The candidate should pose strong willingness to build strong relationship between business and engineering.,specialist (Mid / Regular),full office work,,,Kraków,False
Engineering Platform IT System Specialist,Hitachi Energy Poland Sp. z o.o.,".Net,C++,Python","https://www.pracuj.pl/praca/engineering-platform-it-system-specialist-warszawa-zeganska-1,oferta,1003703651",We are looking for an Engineering Platform IT System Analyst to join an international development team that takes care of Engineering Design Platform development. We are looking for experienced candidate who will support us with breaking down business processes and then assist in finding ways to optimize them with the focus on design platform for transformer designers. The candidate should pose strong willingness to build strong relationship between business and engineering.,specialist (Mid / Regular),full office work,,,Warszawa,False
Assistant Vice President - Data Analytics,HSBC Service Delivery (Polska) Sp. z o.o.,"Jira,Confluence,SAS,Python,PySpark,SQL","https://www.pracuj.pl/praca/assistant-vice-president-data-analytics-krakow-kapelanka-42a,oferta,1003696722","DAO Group Functions, part of the Data Analytics Office (DAO) team, comprises Data, Reporting & MI professionals. Our mission is to furnish precise, timely, and insightful Data and Management information to the Risk & Compliance and Finance function. Utilizing cutting-edge data architecture integrated into HSBC's broader data fabric, our services empower Risk, Compliance, and Finance professionals to concentrate on comprehensive risk management and meet regulatory obligations.,We consistently strive to deliver value in Risk, Compliance, and Finance Data, MI, and Reporting, aligning with Business Data, Architecture, Technology strategies, and Group standards. Our services support regulatory compliance (e.g., BCBS 239 and Basel III Reforms) for Risk and Compliance processes, offering diverse Data services encompassing Management, Quality, and Controls, along with an MI & Reporting function delivering reports and dashboard solutions.,The role in the Data Management and Analytics team supports GRADE (Global Risk Analytics Data Environment) platform analytical projects. Our data is pivotal for WCR (Wholesale Credit Risk) model development, validation, and monitoring at HSBC. We handle risk data through activities such as ingesting data from internal and external sources, measuring and monitoring data quality, and providing visualizations. Our responsibilities also include Wholesale Credit Risk peer benchmarking, GRADE platform security, capacity management, user support, onboarding, and change management. We collaborate with global teams on risk data BAU activities and projects.","specialist (Mid / Regular), senior specialist (Senior)",hybrid work,,,Kraków,True
Test Automation Engineer,ITDS Polska Sp. z o.o.,"Python,SQL,Apache Airflow,Google Cloud Platform","https://www.pracuj.pl/praca/test-automation-engineer-warszawa,oferta,1003693347","Join us as a Test Automation Engineer and contribute to the development of smart crop science solutions! You will work for a global company that combines science with innovation to advance health and nutrition. Your role will focus on automating and testing cutting-edge solutions in crop science, supporting yield monitoring, analyzing the environmental impact of products, and ensuring data quality. This work will directly contribute to creating a more sustainable farming ecosystem. Be part of a global transformation toward resilient and adaptive crops!,Become a pioneer in smart crop science development with us!,Warsaw-based opportunity with the possibility of partial remote work (2 days a month in the office).",senior specialist (Senior),hybrid work,20000–25000,net (+ VAT) / mth.,,True
Junior Full Stack Engineer,INK SOLUTIONS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"HTML,CSS,Python,Java,Node.js,Git","https://www.pracuj.pl/praca/junior-full-stack-engineer-krakow-swietego-jana-20,oferta,1003667272","INK Solutions is a premier software development company dedicated to empowering businesses with innovative digital solutions. We specialize in creating custom software applications that streamline operations, enhance customer engagement, and drive growth. We are currently seeking a highly motivated Junior Full Stack Engineer to join our dynamic team and contribute to the expansion of our comprehensive suite of digital solutions.",młodszy specjalista (Junior),praca zdalna,,,Kraków,False
Software Engineering Manager - Managed Kafka On GDC,Google,"Python,C,C++,Java,JavaScript,Google Cloud Platform","https://www.pracuj.pl/praca/software-engineering-manager-managed-kafka-on-gdc-warszawa-emilii-plater-53,oferta,1003714645","Like Google's own ambitions, the work of a Software Engineer goes beyond just Search. Software Engineering Managers have not only the technical expertise to take on and provide technical leadership to major projects, but also manage a team of Engineers. You not only optimize your own code but make sure Engineers are able to optimize theirs. As a Software Engineering Manager you manage your project goals, contribute to product strategy and help develop your team. Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security, data compression, user interface design; the list goes on and is growing every day. Operating with scale and speed, our exceptional software engineers are just getting started -- and as a manager, you guide the way.,With technical and leadership expertise, you manage engineers across multiple teams and locations, a large product budget and oversee the deployment of large-scale projects across multiple sites internationally.,In this role, you will join and lead a new team bringing the power of Kafka to new cutting-edge environments. Google’s Managed Kafka team is forming a new team to expand its reach beyond public cloud and into other critical environments such as Google Distributed Cloud (GDC). This includes both Connected and Air-Gapped, focusing first on Connected.,Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",senior specialist (Senior),hybrid work,,,Warszawa,False
Tester systemów wbudowanych,EMBEVITY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Python,Git,Robot Framework","https://www.pracuj.pl/praca/tester-systemow-wbudowanych-gliwice-wincentego-pola-27,oferta,1003696242","Drogi Testerze! Dołącz do pasjonatów prowadzących bardzo ciekawe projekty typu embedded.,Portfolio naszych projektów na najbliższe kwartały wygląda bardzo dobrze, dlatego potrzebujemy zwiększyć zespół testujący, żeby dostarczyć projekty w wysokiej jakości.,Jako firma usługowa, dostarczamy naszym klientom rozwiązania z zakresu systemów wbudowanych. Klienci przychodzą do nas z pomysłami na swój produkt lub jego część, a my to dla nich wykonujemy, często tworząc prototypy.,Prowadzimy projekty, w których powstają między innymi: system pozycjonowania urządzeń i ludzi z wykorzystaniem technologii radiowych, ładowarka do samochodów elektrycznych, przetwarzanie wizji z wykorzystaniem FPGA, sterowniki do zawansowanych urządzeń laboratoryjnych, platformy służące do szyfrowania informacji z wykorzystaniem zjawisk kwantowych, sprzęt pomiarowy wykorzystujący zjawiska optyczne.",specjalista (Mid / Regular),"praca stacjonarna, praca hybrydowa",9000–13000,brutto / mies.,Gliwice,False
